Food Name,Glycemic Index,Calories,Carbohydrates,Protein,Fat,Suitable for Diabetes,Suitable for Blood Pressure,Sodium Content,Potassium Content,Magnesium Content,Calcium Content,Fiber Content,Food Type,Suitable for Diabetes,Food Type
Apple,0.410526316,0.057649667,0.180645161,0.009677419,0.002,1,1,0,0.076156584,0.022959184,0.008784773,0.069767442,Vegetable,1,Carb
Banana,0.536842105,0.106430155,0.296774194,0.035483871,0.002,1,1,0.000909091,0.25480427,0.068877551,0.007320644,0.075581395,Carb,1,Carb
Orange,0.442105263,0.04767184,0.116129032,0.029032258,0.001,1,1,0,0.128825623,0.025510204,0.058565154,0.066860465,Vegetable,1,Carb
Strawberries,0.421052632,0.032150776,0.090322581,0.022580645,0.003,1,1,0.000909091,0.108896797,0.033163265,0.023426061,0.058139535,Vegetable,1,Carb
Blueberries,0.557894737,0.063192905,0.180645161,0.022580645,0.003,1,1,0.000909091,0.05480427,0.022959184,0.008784773,0.069767442,Vegetable,1,Carb
Watermelon,0.8,0.033259424,0.103225806,0.019354839,0.002,1,1,0.000909091,0.079715302,0.028061224,0.011713031,0.01744186,Other,1,Carb
Pineapple,0.694736842,0.055432373,0.167741935,0.016129032,0.001,1,1,0.000909091,0.128113879,0.030612245,0.019033675,0.040697674,Other,1,Carb
Mango,0.536842105,0.066518847,0.193548387,0.025806452,0.004,1,1,0.001818182,0.111032028,0.022959184,0.016105417,0.046511628,Carb,1,Carb
Grapes,0.484210526,0.076496674,0.232258065,0.022580645,0.002,1,1,0.001818182,0.13594306,0.028061224,0.014641288,0.026162791,Carb,1,Carb
Avocado,0.157894737,0.177383592,0.116129032,0.064516129,0.15,1,1,0.006363636,0.34519573,0.073979592,0.017569546,0.194767442,Other,1,Carb
Tomato,0.157894737,0.019955654,0.051612903,0.029032258,0.002,1,1,0.004545455,0.168683274,0.028061224,0.008784773,0.034883721,Other,1,Carb
Carrot,0.494736842,0.045454545,0.129032258,0.029032258,0.002,1,1,0.062727273,0.227758007,0.030612245,0.048316252,0.081395349,Vegetable,1,Carb
Broccoli,0.157894737,0.06097561,0.141935484,0.135483871,0.006,1,1,0.03,0.224911032,0.053571429,0.068814056,0.075581395,Vegetable,1,Carb
Spinach,0.157894737,0.025498891,0.046451613,0.093548387,0.004,1,1,0.071818182,0.397153025,0.201530612,0.144948755,0.063953488,Vegetable,1,Carb
Lettuce,0.157894737,0.005543237,0.012903226,0.016129032,0.001,1,1,0.004545455,0.03202847,0.020408163,0.026354319,0.014534884,Other,1,Carb
Cucumber,0.157894737,0.017738359,0.046451613,0.022580645,0.001,1,1,0.001818182,0.104626335,0.033163265,0.023426061,0.014534884,Other,1,Carb
Zucchini,0.157894737,0.018847007,0.04,0.038709677,0.002,1,1,0.002727273,0.209964413,0.045918367,0.023426061,0.029069767,Other,1,Carb
Bell Pepper,0.157894737,0.034368071,0.077419355,0.041935484,0.003,1,1,0.000909091,0.150177936,0.025510204,0.014641288,0.061046512,Vegetable,1,Carb
Cauliflower,0.157894737,0.027716186,0.064516129,0.064516129,0.003,1,1,0.027272727,0.212811388,0.038265306,0.032210835,0.058139535,Vegetable,1,Carb
Celery,0.157894737,0.006651885,0.015483871,0.009677419,0.001,1,1,0.031818182,0.074021352,0.020408163,0.058565154,0.046511628,Other,1,Carb
Eggplant,0.157894737,0.027716186,0.077419355,0.032258065,0.002,1,1,0.001818182,0.162989324,0.035714286,0.01317716,0.087209302,Vegetable,1,Carb
Sweet Potato,0.736842105,0.095343681,0.258064516,0.051612903,0.001,1,1,0.05,0.239857651,0.058673469,0.043923865,0.087209302,Carb,1,Carb
Brown Rice,0.715789474,0.239467849,0.590967742,0.161290323,0.018,1,1,0.006363636,0.109608541,0.109693878,0.027818448,0.101744186,Carb,1,Carb
Quinoa,0.557894737,0.133037694,0.27483871,0.141935484,0.019,1,1,0.004545455,0.122419929,0.163265306,0.02489019,0.081395349,Carb,1,Carb
Oats,0.578947368,0.16962306,0.339354839,0.170967742,0.027,1,1,0.001818182,0.116725979,0.201530612,0.079062958,0.11627907,Carb,1,Carb
Whole Wheat Bread,0.726315789,0.087583149,0.198709677,0.093548387,0.01,1,1,0.121818182,0.058362989,0.073979592,0.029282577,0.078488372,Carb,1,Carb
Salmon,0,0.228381375,0,0.709677419,0.13,1,1,0.053636364,0.446975089,0.068877551,0.017569546,0,Protein,1,Carb
Chicken Breast,0,0.182926829,0,1,0.036,1,1,0.067272727,0.251957295,0.073979592,0.016105417,0,Protein,1,Carb
Lean Beef,0,0.277161863,0,0.838709677,0.17,1,1,0.049090909,0.267615658,0.051020408,0.017569546,0,Protein,1,Carb
Turkey Breast,0,0.10864745,0,0.709677419,0.01,1,1,0.042727273,0.206405694,0.056122449,0.014641288,0,Protein,1,Carb
Eggs,0,0.086474501,0.007741935,0.193548387,0.053,1,1,0.056363636,0.044839858,0.025510204,0.040995608,0,Protein,1,Carb
Almonds,0,0.641906874,0.278709677,0.683870968,0.499,1,1,0.000909091,0.521708185,0.68877551,0.386530015,0.363372093,Carb,1,Carb
Walnuts,0,0.725055432,0.176774194,0.490322581,0.652,1,1,0.001818182,0.313879004,0.403061224,0.143484627,0.194767442,Other,1,Carb
Peanuts,0.147368421,0.628603104,0.207741935,0.832258065,0.492,1,1,0.016363636,0.501779359,0.428571429,0.134699854,0.247093023,Carb,1,Carb
Greek Yogurt,0.115789474,0.0654102,0.046451613,0.322580645,0.004,1,1,0.032727273,0.100355872,0.030612245,0.172767204,0,Protein,1,Carb
Cottage Cheese,0.105263158,0.10864745,0.033548387,0.358064516,0.043,1,1,0.330909091,0.074021352,0.017857143,0.183016105,0,Protein,1,Carb
Lentils,0.336842105,0.128603104,0.258064516,0.290322581,0.004,1,1,0.001818182,0.262633452,0.091836735,0.026354319,0.229651163,Carb,1,Protein
Chickpeas,0.105263158,0.298226164,0.580645161,0.483870968,0.042,1,1,0.021818182,0.622775801,0.201530612,0.117130307,0.354651163,Carb,1,Protein
Black Beans,0.315789474,0.251662971,0.534193548,0.490322581,0.009,1,1,0.000909091,0.434875445,0.306122449,0.040995608,0.436046512,Carb,1,Protein
Brown Lentils,0.336842105,0.390243902,0.774193548,0.774193548,0.011,1,1,0.002727273,0.520284698,0.119897959,0.081991215,0.311046512,Carb,1,Protein
Quinoa,0.557894737,0.133037694,0.27483871,0.141935484,0.019,1,1,0.004545455,0.122419929,0.163265306,0.02489019,0.081395349,Carb,1,Protein
Spinach,0.157894737,0.025498891,0.046451613,0.093548387,0.004,1,1,0.071818182,0.397153025,0.201530612,0.144948755,0.063953488,Vegetable,1,Protein
Kale,0.157894737,0.054323725,0.113548387,0.138709677,0.009,1,1,0.020909091,0.234875445,0.084183673,0.219619327,0.058139535,Vegetable,1,Protein
Salmon,0,0.228381375,0,0.709677419,0.13,1,1,0.053636364,0.446975089,0.068877551,0.017569546,0,Protein,1,Protein
Chicken Breast,0,0.182926829,0,1,0.036,1,1,0.067272727,0.251957295,0.073979592,0.016105417,0,Protein,1,Protein
Lean Beef,0,0.277161863,0,0.838709677,0.17,1,1,0.049090909,0.267615658,0.051020408,0.017569546,0,Protein,1,Protein
Turkey Breast,0,0.10864745,0,0.709677419,0.01,1,1,0.042727273,0.206405694,0.056122449,0.014641288,0,Protein,1,Protein
Eggs,0,0.086474501,0.007741935,0.193548387,0.053,1,1,0.056363636,0.044839858,0.025510204,0.040995608,0,Protein,1,Vegetable
Almonds,0,0.641906874,0.278709677,0.683870968,0.499,1,1,0.000909091,0.521708185,0.68877551,0.386530015,0.363372093,Carb,1,Vegetable
Walnuts,0,0.725055432,0.176774194,0.490322581,0.652,1,1,0.001818182,0.313879004,0.403061224,0.143484627,0.194767442,Other,1,Vegetable
Peanuts,0.147368421,0.628603104,0.207741935,0.832258065,0.492,1,1,0.016363636,0.501779359,0.428571429,0.134699854,0.247093023,Carb,1,Vegetable
Greek Yogurt,0.115789474,0.0654102,0.046451613,0.322580645,0.004,1,1,0.032727273,0.100355872,0.030612245,0.172767204,0,Protein,1,Vegetable
Cottage Cheese,0.105263158,0.10864745,0.033548387,0.358064516,0.043,1,1,0.330909091,0.074021352,0.017857143,0.183016105,0,Protein,1,Vegetable
Lentils,0.336842105,0.128603104,0.258064516,0.290322581,0.004,1,1,0.001818182,0.262633452,0.091836735,0.026354319,0.229651163,Carb,1,Vegetable
Chickpeas,0.105263158,0.298226164,0.580645161,0.483870968,0.042,1,1,0.021818182,0.622775801,0.201530612,0.117130307,0.354651163,Carb,1,Vegetable
Black Beans,0.315789474,0.251662971,0.534193548,0.490322581,0.009,1,1,0.000909091,0.434875445,0.306122449,0.040995608,0.436046512,Carb,1,Vegetable
Brown Lentils,0.336842105,0.390243902,0.774193548,0.774193548,0.011,1,1,0.002727273,0.520284698,0.119897959,0.081991215,0.311046512,Carb,1,Vegetable
Quinoa,0.557894737,0.133037694,0.27483871,0.141935484,0.019,1,1,0.004545455,0.122419929,0.163265306,0.02489019,0.081395349,Carb,1,Vegetable
Spinach,0.157894737,0.025498891,0.046451613,0.093548387,0.004,1,1,0.071818182,0.397153025,0.201530612,0.144948755,0.063953488,Vegetable,1,Vegetable
Kale,0.157894737,0.054323725,0.113548387,0.138709677,0.009,1,1,0.020909091,0.234875445,0.084183673,0.219619327,0.058139535,Vegetable,1,Vegetable
Avocado,0.157894737,0.177383592,0.116129032,0.064516129,0.15,1,1,0.006363636,0.34519573,0.073979592,0.017569546,0.203488372,Other,1,Vegetable
Berries (Mixed),0.421052632,0.04767184,0.129032258,0.022580645,0.004,1,1,0.000909091,0.05480427,0.015306122,0.023426061,0.069767442,Vegetable,1,Vegetable
Oranges,0.421052632,0.068736142,0.193548387,0.038709677,0.002,1,1,0,0.168683274,0.025510204,0.0761347,0.090116279,Carb,1,Vegetable
Apples,0.410526316,0.057649667,0.180645161,0.009677419,0.002,1,1,0,0.076156584,0.012755102,0.008784773,0.069767442,Vegetable,1,Vegetable
Grapes,0.621052632,0.076496674,0.232258065,0.023225806,0.0016,1,1,0.001818182,0.13594306,0.020408163,0.014641288,0.026162791,Carb,1,Vegetable
Watermelon,0.757894737,0.033259424,0.103225806,0.019354839,0.002,1,1,0.000909091,0.079715302,0.025510204,0.016105417,0.01744186,Other,1,Vegetable
Blueberries,0.557894737,0.063192905,0.180645161,0.022580645,0.003,1,1,0.000909091,0.05480427,0.022959184,0.008784773,0.069767442,Vegetable,1,Vegetable
Strawberries,0.421052632,0.035476718,0.099354839,0.022580645,0.003,1,1,0.000909091,0.108896797,0.033163265,0.023426061,0.058139535,Vegetable,1,Vegetable
Broccoli,0.105263158,0.06097561,0.144516129,0.119354839,0.006,1,1,0.03,0.224911032,0.053571429,0.070278184,0.148255814,Vegetable,1,Vegetable
Cauliflower,0.157894737,0.027716186,0.068387097,0.061290323,0.003,1,1,0.027272727,0.212811388,0.038265306,0.032210835,0.058139535,Vegetable,1,Vegetable
Green Beans,0.157894737,0.034368071,0.090322581,0.058064516,0.002,1,1,0.005454545,0.148754448,0.06377551,0.054172767,0.098837209,Vegetable,1,Vegetable
Zucchini,0.157894737,0.018847007,0.04,0.038709677,0.002,1,1,0.007272727,0.175800712,0.045918367,0.023426061,0.029069767,Other,1,Vegetable
Carrots,0.410526316,0.045454545,0.129032258,0.029032258,0.002,1,1,0.062727273,0.227758007,0.030612245,0.048316252,0.081395349,Vegetable,1,Vegetable
Tomatoes,0.157894737,0.019955654,0.050322581,0.029032258,0.002,1,1,0.004545455,0.168683274,0.028061224,0.014641288,0.034883721,Other,1,Vegetable
Cucumber,0.157894737,0.017738359,0.046451613,0.022580645,0.001,1,1,0.001818182,0.054092527,0.017857143,0.020497804,0.014534884,Other,1,Vegetable
Asparagus,0.157894737,0.022172949,0.047741935,0.070967742,0.002,1,1,0.001818182,0.143772242,0.035714286,0.035139092,0.058139535,Vegetable,1,Vegetable
Mushrooms,0.105263158,0.024390244,0.042580645,0.1,0.003,1,1,0.004545455,0.22633452,0.022959184,0.004392387,0.029069767,Other,1,Vegetable
Cabbage,0.105263158,0.027716186,0.07483871,0.041935484,0.001,1,1,0.016363636,0.120996441,0.022959184,0.058565154,0.063953488,Vegetable,1,Vegetable
Onions,0.105263158,0.044345898,0.12,0.035483871,0.001,1,1,0.003636364,0.103914591,0.025510204,0.033674963,0.049418605,Other,1,Vegetable
Garlic,0.315789474,0.16518847,0.427096774,0.206451613,0.005,1,1,0.015454545,0.285409253,0.06377551,0.265007321,0.061046512,Carb,1,Vegetable
Lettuce,0.105263158,0.005543237,0.012903226,0.016129032,0,1,1,0.004545455,0.042704626,0.010204082,0.019033675,0.014534884,Other,1,Vegetable
Celery,0.157894737,0.017738359,0.049032258,0.022580645,0.002,1,1,0.072727273,0.185053381,0.028061224,0.058565154,0.046511628,Other,1,Vegetable
Bell Peppers,0.157894737,0.034368071,0.081290323,0.041935484,0.003,1,1,0.002727273,0.12455516,0.025510204,0.014641288,0.049418605,Other,1,Vegetable
Eggplant,0.157894737,0.027716186,0.077419355,0.032258065,0.002,1,1,0.001818182,0.162989324,0.035714286,0.01317716,0.087209302,Vegetable,1,Vegetable
