Food Code,Food Name,Calories,Water (g),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Magnesium (mg),Vitamin C (mg),Thiamin (mcg),Riboflavin (mcg),Niacin (mg),Vitamin A (mcg RAE),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g)
1001,"Amaranth, whole grain, dry, raw",360,10,14.7,5.6,59.2,7.5,0,3,413,162,9.5,270,1,0.07,0.21,0.5,0,0,0,0
1004,Sweet Biscuits,460,4.3,6.1,17.2,69.3,2.1,12,298,158,45,1.4,19,7,0.09,0.03,0.7,40,0,0,0
1005,Brown Bread,245,36,8,0,46.9,5.9,0,446,191,56,2.6,58,0,0.22,0.01,3.4,0,0,0,0
1006,Sweet Bread,368,23.5,8.3,14.4,50.6,1.5,0,369,227,80,1.9,18,0.6,0.2,0.16,2.3,74,0,0,0
1007,White Bread,249,36.9,7.7,1.9,48.8,3.1,0,466,120,37,1.7,27,0,0.16,0.06,3.8,0,0,0,0
1009,Corn Flakes,373,3.5,7.5,0.7,83,2.6,0,1090,110,3,0.4,13,0,0,0.08,0.8,10,0,0,0
1010,"Wheat Biscuits,Weetabix",366,3.8,11.5,1.9,70.7,9.9,0,360,392,30,7.6,125,0,1,1.24,11,0,0,0,0
1011,Buns,306,29,7,6.8,52.8,2.9,1.5,100,210,90,2.5,27,0,0.2,0.03,2.1,0,0,0,0
1012,Cupcakes,363,25.9,7.1,15.3,48.8,1.1,82.5,480,110,63,1,14,0,0.06,0.14,0.7,50,0,0,0
1013,Fruit Cake,368,20,4,12.3,58.8,3.1,38,170,347,75,2,23,0,0.1,0.1,0.2,8,0,0,0
1014,Sponge Cake,465,15,6.5,26.7,49.1,1.1,161,350,105,140,1.4,12,0,0.04,0.13,0.5,323,0,0,0
1016,Iced Cake,412,15.7,13,16.8,51.5,1.1,31.1,250,147,45,1.5,10,0,0.03,0.5,0.5,0,0,0,0
1017,Ugali,355,10.6,0.5,0.4,87.1,0.6,0,10,7,12,0.7,3,0,0.02,0,0.2,0,0,0,0
1018,"Githeri, white grains",345,13.6,7.94,4.5,63.4,9.4,0,12,226,24,2.6,75,0,0.25,0.1,2,0,0.60781725,1.321707375,1.572847875
1047,Boiled Maize,111,72.1,2.6,1.5,20.5,3,0,5,59,9,0.8,25,0,0.04,0.02,0.5,0,0,0,0
1019,"Githeri, yellow grains",340,12.7,8.3,3.7,62.5,11.9,0,7,346,7,3.9,104,0,0.5,0.12,2.2,20,0,0,0
1049,Yellow Boiled Maize,110,71.8,2.7,1.2,20.2,3.8,0,4,90,4,1.3,34,0,0.08,0.03,0.5,6,0,0,0
1021,Muthokoi,338,13.5,7.3,1.7,71.4,3.9,0,7,90,3,0.5,19,0,0.12,0.01,0.5,0,0,0,0
1065,"Pasta, macaroni",150,62.2,5.6,0.6,30,1.4,0,3,36,10,0.6,16,0,0.03,0.01,0.4,0,0,0,0
1064,"Pasta, spaghetti",122,69.1,4.4,0.5,24.5,1.1,0,4,49,8,0.3,11,0,0.02,0.02,0.3,0,0,0,0
1032,"Rice, Flour",352,11.9,6,1.1,78.4,2.1,0,2,155,14,0.8,37,0,0.12,0.03,2.9,0,0,0,0
1060,Boiled Rice,119,69.6,2.4,0.2,26.3,1.3,0,4,35,5,0.6,10,0,0.06,0.01,0.8,0,0,0,0
2,"STARCHY ROOTS, TUBERS AND BANANAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
