food_code,food_name,calories,water_g,protein_g,fat_g,carbohydrates_g,fiber_g,niacin_mg,vitamin_a_,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,cholesterol_g,sodium_g,potassium_g,calcium_g,iron_g,magnesium_g,vitamin_c_g,thiamin_g,riboflavin_g,carb_fiber_ratio,protein_density,fat_energy_ratio,sodium_potassium_ratio,cluster,Suitable for Diabetes,Food Type
1001,"Amaranth, whole grain, dry, raw",0.4,0.100050025,0.32166302,0.056,0.592,0.143403442,0.011655012,0,0,0,0,0,7.79E-05,0.040490196,0.037850467,0.220930233,0.520231214,0.004504505,0.001166667,0.050239234,0.069647059,0.177590394,0.13959666,2.65E-10,0,1,Other
1004,Sweet Biscuits,0.511111111,0.043021511,0.133479212,0.172,0.693,0.040152964,0.016317016,0.001049869,0,0,0,0.021052632,0.00774026,0.015490196,0.010514019,0.03255814,0.036608863,0.031531532,0.0015,0.007177033,0.223548387,0.057708296,0.33575441,6.88E-08,0,1,Other
1005,Brown Bread,0.272222222,0.36018009,0.175054705,0,0.469,0.112810707,0.079254079,0,0,0,0,0,0.011584416,0.01872549,0.013084112,0.060465116,0.111753372,0,0.003666667,0.002392344,0.067971014,0.141828731,0,8.52E-08,1,1,Other
1006,Sweet Bread,0.408888889,0.235117559,0.181619256,0.144,0.506,0.028680688,0.053613054,0.001942257,0,0,0,0,0.009584416,0.022254902,0.018691589,0.044186047,0.034682081,0.002702703,0.003333333,0.038277512,0.2024,0.098098206,0.351180449,5.93E-08,0,1,Other
1007,White Bread,0.276666667,0.369184592,0.168490153,0.019,0.488,0.059273423,0.088578089,0,0,0,0,0,0.012103896,0.011764706,0.00864486,0.039534884,0.052023121,0,0.002666667,0.014354067,0.11902439,0.134325991,0.068392392,1.42E-07,1,1,Other
1009,Corn Flakes,0.414444444,0.035017509,0.164113786,0.007,0.83,0.049713193,0.018648019,0.000262467,0,0,0,0,0.028311688,0.010784314,0.000700935,0.009302326,0.02504817,0,0,0.019138756,0.230555556,0.087457891,0.016843046,3.62E-07,0,1,Other
1010,"Wheat Biscuits,Weetabix",0.406666667,0.03801901,0.251641138,0.019,0.707,0.189292543,0.256410256,0,0,0,0,0,0.009350649,0.038431373,0.007009346,0.176744186,0.240847784,0,0.016666667,0.296650718,0.064862385,0.136659905,0.046588823,3.35E-08,0,1,Other
1011,Buns,0.34,0.290145073,0.153172867,0.068,0.528,0.055449331,0.048951049,0,0,0,0,0.002631579,0.002597403,0.020588235,0.021028037,0.058139535,0.052023121,0,0.003333333,0.007177033,0.135384615,0.099441806,0.199326362,1.74E-08,0,1,Other
1012,Cupcakes,0.403333333,0.259129565,0.15536105,0.153,0.488,0.021032505,0.016317016,0.001312336,0,0,0,0.144736842,0.012467532,0.010784314,0.014719626,0.023255814,0.026974952,0,0.001,0.033492823,0.232380952,0.085068016,0.378254628,1.59E-07,0,1,Other
1013,Fruit Cake,0.408888889,0.20010005,0.087527352,0.123,0.588,0.059273423,0.004662005,0.000209974,0,0,0,0.066666667,0.004415584,0.034019608,0.017523364,0.046511628,0.044315992,0,0.001666667,0.023923445,0.143414634,0.047276244,0.299966633,1.79E-08,0,1,Other
1014,Sponge Cake,0.516666667,0.150075038,0.142231947,0.267,0.491,0.021032505,0.011655012,0.00847769,0,0,0,0.28245614,0.009090909,0.010294118,0.03271028,0.03255814,0.023121387,0,0.000666667,0.031100478,0.233809524,0.060832656,0.515607883,1.22E-07,0,1,Other
1016,Iced Cake,0.457777778,0.157078539,0.284463895,0.168,0.515,0.021032505,0.011655012,0,0,0,0,0.054561404,0.006493506,0.014411765,0.010514019,0.034883721,0.019267823,0,0.0005,0.119617225,0.245238095,0.137278536,0.366060976,6.21E-08,0,1,Other
1017,Ugali,0.394444444,0.106053027,0.010940919,0.004,0.871,0.011472275,0.004662005,0,0,0,0,0,0.00025974,0.000686275,0.002803738,0.01627907,0.005780347,0,0.000333333,0,0.544375,0.006125328,0.010111235,5.21E-08,0,1,Carb
1018,"Githeri, white grains",0.383333333,0.136068034,0.173741794,0.045,0.634,0.179732314,0.046620047,0,0.038446332,0.023807883,0.031027729,0,0.000311688,0.022156863,0.005607477,0.060465116,0.144508671,0,0.004166667,0.023923445,0.060961538,0.100081485,0.117039004,1.94E-09,0,1,Carb
1047,Boiled Maize,0.123333333,0.72136068,0.056892779,0.015,0.205,0.057361377,0.011655012,0,0,0,0,0,0.00012987,0.005784314,0.002102804,0.018604651,0.048169557,0,0.000666667,0.004784689,0.05125,0.10124292,0.120522308,3.09E-09,1,1,Carb
1019,"Githeri, yellow grains",0.377777778,0.127063532,0.181619256,0.037,0.625,0.227533461,0.051282051,0.000524934,0,0,0,0,0.000181818,0.033921569,0.001635514,0.090697674,0.200385356,0,0.008333333,0.028708134,0.048449612,0.10615319,0.097643098,7.38E-10,0,1,Carb
1049,Yellow Boiled Maize,0.122222222,0.71835918,0.059080963,0.012,0.202,0.072657744,0.011655012,0.00015748,0,0,0,0,0.000103896,0.008823529,0.000934579,0.030232558,0.065510597,0,0.001333333,0.007177033,0.042083333,0.106084058,0.097286476,1.62E-09,1,1,Carb
1021,Muthokoi,0.375555556,0.135067534,0.159737418,0.017,0.714,0.07456979,0.011655012,0,0,0,0,0,0.000181818,0.008823529,0.000700935,0.011627907,0.036608863,0,0.002,0.002392344,0.145714286,0.093914467,0.045127724,2.84E-09,0,1,Carb
1065,"Pasta, macaroni",0.166666667,0.622311156,0.122538293,0.006,0.3,0.026768642,0.009324009,0,0,0,0,0,7.79E-05,0.003529412,0.002336449,0.013953488,0.030828516,0,0.0005,0.002392344,0.125,0.161741109,0.035757612,3.04E-09,1,1,Carb
1064,"Pasta, spaghetti",0.135555556,0.691345673,0.096280088,0.005,0.245,0.021032505,0.006993007,0,0,0,0,0,0.000103896,0.004803922,0.001869159,0.006976744,0.021194605,0,0.000333333,0.004784689,0.116666667,0.156011604,0.036581297,2.98E-09,1,1,Carb
